-2.1384E-01,2.4614E-02,2.2378E-01,3.1352E-04,1.7514E-04,-2.6034E-04,-4.7342E+00,3.0820E-05
2.0485E-02,4.9064E-03,-3.1759E-02,1.9242E-04,1.1087E-04,1.1071E-04,1.8040E-01,2.5876E-05
2.2424E-01,1.4020E-02,-2.4842E-01,5.1027E-05,1.6960E-05,7.7873E-05,5.1183E+00,-1.6889E-05
4.4407E-01,5.6659E-02,-4.8104E-01,8.0962E-04,8.8863E-04,-5.8092E-04,1.0035E+01,9.0910E-04
6.4426E-01,1.3867E-01,-6.8596E-01,-7.9028E-06,1.6489E-04,-9.3748E-05,1.4974E+01,3.1931E-04
8.2371E-01,2.5220E-01,-8.7885E-01,-6.0624E-05,1.2868E-04,-1.4785E-04,1.9933E+01,3.0235E-04
9.7452E-01,3.9769E-01,-1.0625E+00,-3.9742E-04,-8.3935E-05,6.0794E-05,2.4900E+01,2.1878E-04
1.0761E+00,5.5685E-01,-1.2188E+00,8.4196E-04,8.1322E-04,-8.5602E-04,2.9874E+01,7.4829E-04
1.1327E+00,6.9477E-01,-1.3352E+00,3.7166E-04,5.7617E-04,-4.2732E-04,3.3853E+01,7.4104E-04
1.1329E+00,7.5383E-01,-1.3667E+00,1.7600E-04,4.1710E-04,2.3016E-05,3.5856E+01,6.1816E-04
1.1032E+00,7.9510E-01,-1.3662E+00,-1.0600E-04,3.3962E-04,-2.0364E-04,3.7853E+01,7.4493E-04
1.0598E+00,8.2610E-01,-1.3514E+00,1.9078E-03,1.0948E-03,-5.4621E-04,3.9851E+01,2.5886E-04
1.0086E+00,8.4868E-01,-1.3297E+00,4.6987E-04,4.0734E-04,2.9736E-04,4.1837E+01,3.1526E-04
9.5398E-01,8.6714E-01,-1.3074E+00,2.0062E-03,9.9003E-04,-2.6933E-04,4.3838E+01,-3.7966E-05
8.9092E-01,8.7358E-01,-1.2741E+00,1.3085E-03,6.1503E-04,2.1627E-04,4.5818E+01,-8.9093E-05
